epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
326,1.127,0.555,1.178,0.195,0.498,0.790,0.563,0.611,0.277
327,1.157,0.565,1.205,0.198,0.498,0.789,0.563,0.611,0.277
328,1.165,0.565,1.231,0.197,0.499,0.789,0.564,0.611,0.278
329,1.117,0.548,1.180,0.195,0.499,0.789,0.564,0.611,0.278
330,1.153,0.560,1.210,0.196,0.500,0.788,0.564,0.611,0.278
331,1.148,0.558,1.214,0.197,0.500,0.787,0.564,0.612,0.278
332,1.138,0.558,1.205,0.199,0.500,0.788,0.564,0.612,0.278
333,1.132,0.551,1.198,0.197,0.501,0.788,0.565,0.612,0.278
334,1.115,0.553,1.167,0.196,0.500,0.788,0.565,0.612,0.278
335,1.115,0.548,1.185,0.200,0.501,0.787,0.564,0.612,0.278
336,1.128,0.550,1.180,0.199,0.501,0.787,0.565,0.612,0.278
337,1.133,0.552,1.194,0.199,0.500,0.788,0.564,0.612,0.278
338,1.152,0.564,1.207,0.194,0.500,0.787,0.565,0.612,0.278
339,1.168,0.573,1.242,0.191,0.500,0.787,0.565,0.612,0.278
340,1.102,0.546,1.150,0.193,0.500,0.788,0.564,0.612,0.278
341,1.149,0.563,1.206,0.197,0.499,0.790,0.565,0.612,0.278
342,1.141,0.559,1.200,0.198,0.500,0.789,0.565,0.612,0.278
343,1.144,0.559,1.206,0.196,0.500,0.789,0.565,0.613,0.279
344,1.128,0.559,1.175,0.194,0.501,0.788,0.565,0.612,0.279
345,1.137,0.559,1.192,0.191,0.500,0.788,0.565,0.612,0.279
346,1.101,0.542,1.169,0.197,0.501,0.788,0.565,0.612,0.279
347,1.138,0.555,1.196,0.197,0.501,0.789,0.565,0.613,0.279
348,1.131,0.555,1.175,0.195,0.501,0.788,0.565,0.613,0.279
349,1.144,0.564,1.207,0.194,0.501,0.788,0.565,0.613,0.279
350,1.144,0.556,1.196,0.196,0.501,0.789,0.565,0.613,0.279
351,1.141,0.558,1.209,0.198,0.501,0.788,0.566,0.613,0.279
352,1.138,0.560,1.174,0.202,0.500,0.791,0.566,0.613,0.279
353,1.160,0.566,1.196,0.195,0.500,0.792,0.566,0.613,0.279
354,1.146,0.564,1.195,0.195,0.501,0.789,0.566,0.613,0.279
355,1.120,0.548,1.197,0.201,0.500,0.791,0.566,0.613,0.279
356,1.144,0.567,1.182,0.194,0.501,0.791,0.566,0.613,0.279
357,1.159,0.563,1.218,0.199,0.500,0.792,0.566,0.613,0.279
358,1.118,0.553,1.181,0.194,0.500,0.792,0.566,0.613,0.279
359,1.142,0.556,1.200,0.199,0.500,0.792,0.566,0.613,0.279
360,1.111,0.543,1.153,0.197,0.501,0.791,0.566,0.613,0.279
361,1.119,0.546,1.171,0.200,0.501,0.790,0.566,0.613,0.279
362,1.180,0.571,1.230,0.195,0.501,0.791,0.566,0.613,0.279
